trip_id,stop_id,delay_sec
6412105-37_R_99_3701_13:13-SETP2025-37-Semaine-37,1343,
6412105-37_R_99_3701_13:13-SETP2025-37-Semaine-37,1443,
6218533-84_A_46_8401_12:50-PROJET2025-84-Semaine-04,1152,
6170696-L3_R_97__10:57-JANV2025-L3-Semaine-09,2602,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,284,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,1570,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,472,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,616,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,747,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,183,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,602,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,1525,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,346,
6327209-17_R_99_1703_10:22-SETP2025-17-L-Ma-J-V-35,2712,
